bundleid;store;app_title;description;dev_name;dev_id;fullprice;versionnumber;osreq;latest_patch;content_rating
com.sigmatech.yadav.medical;android;Infection Prevention;**The most comprehensive guideline for infection prevention on Google Play store***All data adapted with permission from the CDC Guidelines for Isolation Prevention*The main purpose of the Infection Prevention app is to decrease the level of infections and cross contamination in all medical and non medical environments.  This app is a quick and easy reference guide for every clinical and non-clinical staff at hospitals, long-term care facilities, skilled nursing facilities, ambulatory care, home care, hospice, and all staff of emergency medical services. This is a great reference tool for medical and nursing students, nurses, doctors, occupational, physical, respiratory and speech therapist.Features:•	Simple and easy to use interface.•	Sections include common hospital infections to Human pathogens•	Detailed explanation about isolation precaution types: standard, contact, droplet, and airborne•	Illustration on how to wear and take off proper protection equipment(s)•	Current CDC's guidelines for Ebola and how to wear and remove proper protection equipment.This application incorporates guidelines from the 2007 "Guidelines for Isolation Precautions: preventing transmission of infectious agents in healthcare settings"  The materials in this application are used with permission from center of disease control (CDC). Additional information was obtained from Todar's Online Textbook of Bacteriology.;Infection Prevention, LLC;Infection+Prevention,+LLC;00;2.0;4.0 and up;2015-11-04;['Everyone']
gov.cdc.general;android;CDC;NOW AVAILABLE ON YOUR SMARTPHONE OR TABLETGet the official CDC Mobile application for your tablet and/or smartphone and access the most up to date health information.FILTERING OPTIONSOrganize your home page so that the information that’s most important to you appears first! Turn off the content you don’t want with just a flip of a switch and reset it all with the tap of a button.CONTENTThe app ensures that you’re getting the most up to date health information. The home screen lets you see all your information in one place and updates whenever your device is connected to WI-FI. Enjoy a greater variety of content such as stories, videos, podcasts, and features to give you the most current health information from CDC.Browse Featured Articles, stay on top of health news in the Newsroom section, and view CDC Images of the Week. If you’re a journal reader, view the latest Morbidity & Mortality Weekly Report, Emerging and Infectious Disease journal, or the latest on Preventing Chronic Diseases. You can even search CDC’s web content from the app.We'd love to hear your thoughts about the app! Rate the CDC Mobile App in the App Store or leave a comment to let us know how we're doing. You can even send us an email through the app if you have suggestions for improvements!DISCLAIMERTHE MATERIALS EMBODIED IN THIS SOFTWARE ARE PROVIDED TO YOU "AS-IS" AND WITHOUT WARRANTY OF ANY KIND, EXPRESSED, IMPLIED OR OTHERWISE, INCLUDING WITHOUT LIMITATION, ANY WARRANTY OF FITNESS FOR A PARTICULAR PURPOSE. IN NO EVENT SHALL THE CENTERS FOR DISEASE CONTROL AND PREVENTION (CDC) OR THE UNITED STATES (U.S.) GOVERNMENT BE LIABLE TO YOU OR ANYONE ELSE FOR ANY DIRECT, SPECIAL, INCIDENTAL, INDIRECT OR CONSEQUENTIAL DAMAGES OF ANY KIND, OR ANY DAMAGES WHATSOEVER, INCLUDING WITHOUT LIMITATION, LOSS OF PROFIT, LOSS OF USE, SAVINGS OR REVENUE, OR THE CLAIMS OF THIRD PARTIES, WHETHER OR NOT CDC OR THE U.S. GOVERNMENT HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH LOSS, HOWEVER CAUSED AND ON ANY THEORY OF LIABILITY, ARISING OUT OF OR IN CONNECTION WITH THE POSSESSION, USE OR PERFORMANCE OF THIS SOFTWARE.;Centers for Disease Control and Prevention;Centers+for+Disease+Control+and+Prevention;00;2.6.3;4.4 and up;2019-06-03;['Everyone']
com.smart.and.serious.university.ICNURSEltd;android;Infection Control Nurse Practice Test LTD;This app is a combination of sets, containing practice questions, study cards, terms & concepts for self learning & exam preparation on the topic of Infection Control Nurse (ICN).With this app you can learn on the Go, Anytime & Everywhere.This app is suitable for  students, researchers, resident, doctors, Anatomy & physiology specialists, nurses and medical professionals and of course Medical lecturers, teachers and professors.This app is suitable also for PANCE, MCAT, DAT, COMLEX, PACKRAT, USMLE, NCLEX, HESI, NASM, OAT, NBDE, or PCAT exam candidates.-This app is designed by educators & professors who understand the exact candidate’s needs, it’s gathered from the top educational resources.-We keep the application as simple as possible to let the learner focus only on the content-The Flashcards are exam oriented and designed to enhance quick memorization-The application is designed to let you gain time and efficiency-The Flashcards wording enhances easy understanding to ensure higher exam score.In this application you will get at least 22 study notes quiz sets.Main Features:- Works perfectly Offline- Exam oriented- 5 Study modes- Shareable content- Settings: with flexibility to change font size & background control.- Cost Effective- Rich content- Text- to- speech feature: You can use this app while you are driving, walking, and others to save your time.Invest in your Success Now. Your investment in knowledge, professionalism & expertise is durable  & with a High value added.  It's a High return investment.Disclaimer 1:This application is not dedicated for a specific professional certification, it's just a tool to assist students & professionals to expand their knowledge & in-depth their expertise.Disclaimer 2:The publisher of this android app is not affiliated with or endorsed by any testing organization. All organizational and test names are trademarks of their respective owners. The content of the application might include inaccuracies or typographical errors, for which the owner cannot be held liable.;Smart & Serious Software 3S;Smart+%26+Serious+Software+3S;00;1.0;4.0.3 and up;2018-10-22;['Everyone']
com.bodhihealthedu.infectioncontrol;android;Infection Control;Fun and engaging game to practice infection control methods for medical students, doctors, physicians or nurses based on guidelines by Centre for Disease Control and Prevention (CDC) and World Health organization (WHO)Explains the most recent and evidence-based guidelines for prevention of hospital associated infections due to various medical devices or instruments used for patient care in hospitals or health set-upsCovers wide range of medical and surgical instruments and equipments used by healthcare professionals that come in contact with patients.Clearly explains the different cleaning, sterilization and disinfection method for each equipmentInteresting graphics depicting simulated heath care set up.;Bodhi Health Education;Bodhi+Health+Education;00;1.0;2.3 and up;2016-09-03;['Everyone']
com.pkli.patientguidance;android;PKLI Infection Control;Pakistan Kidney and Liver institute and Research Center Launching his first app to Guide how to prevent from Infection control.The app Includes:1 Content about Hand Hygiene2 Complete training by using or images to teach How to prevent from Infection Control.3 Guide about Personal Protective Equipment by using images .4 Waste Management.5 Cleaning and Dis Infection.6 Safe injection.7 Immunization8 Renal Transplant;PKLI & RC;PKLI+%26+RC;00;2.0;4.0.3 and up;2018-05-02;['Everyone']
hic.tas.com.hic;android;Hospital Infection Control;HIC application  with all of the background information necessary to enhance their understanding of the rationale behind the basic principles of infection control and how to apply them in every day situations, how specific bacteria interact with the host and cause infection, the background to each of the bacteria/infections described within the text, and, evidence based recommendations on the infection control management of these.;Vijay Sahdev;Vijay+Sahdev;00;1.0;4.0.3 and up;2017-02-26;['Everyone']
com.attendify.conffr2hw0;android;PDI Infection Prevention;This is an official mobile app for PDI Infection Prevention. It will provide you with the latest updates about our events, keeping you informed and connected. Use this app to access resources, network with other attendees, and share your experience at our event.;KitApps, Inc.;KitApps,+Inc.;00;v2.8.1.2;5.0 and up;2019-09-23;['Teen']
com.freemium.mobile.app.fundamentals_nursing_infection_prevention_control.prep2019.edition;android;Fundamentals of Nursing-Infection Preven & Control;This app is a combination of sets, containing practice questions, study cards, terms & concepts for self learning & exam preparation on the topic of Fundamentals of Nursing-Infection Prevention.With this app you can learn on the Go, Anytime & Everywhere. The learning & understanding process never been so easy like with our 5 study modes embedded in this app.-The Content & design of this application is developed by Teachers & students to satisfy the exact candidates needs, it’s gathered from the top educational resources.Get our Study notes, exam quizzes, terms & definitions and Prepare & Pass Your Exam easily to guarantee the highest score.Our Learners get the best, that's why they don't just meet standards, They exceed them.By the end of this app we expect that you expand your knowledge, widen your expertise, improve your practical skills and Broaden your academic & career  horizons.We promise that this app will strengthen your self-confidence during the exam & daily work.Remember that you should get the Skills you need to land the job you want.Learn & educate your self as much as you can, knowledge is the real and best capital  & asset that you own.Invest in your Success Now. Your investment in knowledge, professionalism & expertise is durable  & with a high value added.  It's the highest return investment.-We keep the application as simple as possible to let the learner focus only on the content-The Flashcards are exam oriented and designed to enhance quick memorization-The application is designed to let you gain time and efficiency-The Flashcards wording enhances easy understanding to ensure higher exam score.In this application you will get over 20 Exam sets.This App  energized your creativity, showcases your talents and strength your self-confidence during the exam & daily work.You will get better understanding, less preparation time & a better score in the exam.-This application is downloaded and used by graduate & undergraduate students, teachers, lecturers, professionals, PhD, researchers, reviewers not only in the US but also in Philippines, Canada, India, Australia, Turkey, Russia, UK, GCC, India, Saudi Arabia, Nigeria, and all over the world.Main Features:- exam questions and study notes- 5 study modes- Shareable content- Settings: with flexibility to change font size & background control.This application allows you to expand your knowledge, widen your expertise, improve your practice skills, Broaden your academic & career horizons.;Premium mobile apps;6967685105373378095;00;1.2;4.1 and up;2019-01-09;['Everyone']
gov.cdc.ondieh.nccdphp.cdcdentalcheck;android;CDC DentalCheck;Centers for Disease Control and Prevention’s (CDC) evidence-based recommendations guide infection control practices in dental offices nationally and globally, provide direction for the public, dental health care personnel (DHCP) and policymakers, and affect technology development in the dental industry.CDC DentalCheck is developed directly from the Infection Prevention Checklist for Dental Settings. DHCP can use this app to periodically assess practices in their facility and ensure they are meeting the minimum expectations for safe care. The infection prevention coordinator and other staff trained in infection prevention are encouraged to use this app at least annually to assess the status of their administrative policies and practices, and engage in direct observation of personnel and patient-care practices.While the information included in this app reflects existing evidence-based guidelines produced by the CDC, it is not intended as a replacement for more extensive guidelines.Key Features•	Check Yes/No to acknowledge compliance with a list of administrative policies or observed practices•	Summary of basic infection prevention principles and recommendations for dental health care settings•	Ability to export results for records managementProvides links to full guidelines and source documents that users can reference for more detailed background and recommendations.;Centers for Disease Control and Prevention;Centers+for+Disease+Control+and+Prevention;00;1.0.2;5.0 and up;2017-12-19;['Everyone']
com.premium.mobile.app.nursing_infection.prep2019.edition;android;Fundamentals of Nursing-Infection Prevention;This app is a combination of sets, containing practice questions, study cards, terms & concepts for self learning & exam preparation on the topic of Fundamentals of Nursing-Infection Prevention.With this app you can learn on the Go, Anytime & Everywhere. The learning & understanding process never been so easy like with our 5 study modes embedded in this app.-The Content & design of this application is developed by Teachers & students to satisfy the exact candidates needs, it’s gathered from the top educational resources.Get our Study notes, exam quizzes, terms & definitions and Prepare & Pass Your Exam easily to guarantee the highest score.Our Learners get the best, that's why they don't just meet standards, They exceed them.By the end of this app we expect that you expand your knowledge, widen your expertise, improve your practical skills and Broaden your academic & career  horizons.We promise that this app will strengthen your self-confidence during the exam & daily work.Remember that you should get the Skills you need to land the job you want.Learn & educate your self as much as you can, knowledge is the real and best capital  & asset that you own.Invest in your Success Now. Your investment in knowledge, professionalism & expertise is durable  & with a high value added.  It's the highest return investment.-We keep the application as simple as possible to let the learner focus only on the content-The Flashcards are exam oriented and designed to enhance quick memorization-The application is designed to let you gain time and efficiency-The Flashcards wording enhances easy understanding to ensure higher exam score.In this application you will get over 20 Exam sets.This App  energized your creativity, showcases your talents and strength your self-confidence during the exam & daily work.You will get better understanding, less preparation time & a better score in the exam.-This application is downloaded and used by graduate & undergraduate students, teachers, lecturers, professionals, PhD, researchers, reviewers not only in the US but also in Philippines, Canada, India, Australia, Turkey, Russia, UK, GCC, India, Saudi Arabia, Nigeria, and all over the world.Main Features:- exam questions and study notes- 5 study modes- Shareable content- Settings: with flexibility to change font size & background control.This application allows you to expand your knowledge, widen your expertise, improve your practice skills, Broaden your academic & career horizons.;Premium mobile apps;6967685105373378095;299;1.4;4.1 and up;2019-01-08;['Everyone']
